2024.06.08-22:44:07 | The file was read successfully: src\crs\resources\input\inFile6.txt
2024.06.08-22:44:07 | Proofreading of 6 files is completed, 6 is successful, 0 is failed
2024.06.09-00:02:56 | Вычитывает текстовую базу данных
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-00:02:56 | В папке: src\crs\resources\input найдено 6 файлов формата txt
2024.06.09-00:02:56 | Начата вычитка 6 файлов
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile1.txt
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile2.txt
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile3.txt
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile4.txt
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile5.txt
2024.06.09-00:02:56 | Успешно прочитан файл: src\crs\resources\input\inFile6.txt
2024.06.09-00:02:56 | Завершена вычитка 6 файлов, успешно 6, провалено 0
2024.06.09-00:02:56 | Из папки input начинаем перенос 6 файлов в папку archive
2024.06.09-00:02:56 | Файл inFile1.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Файл inFile2.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Файл inFile3.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Файл inFile4.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Файл inFile5.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Файл inFile6.txt перемещен в src\crs\resources\archive
2024.06.09-00:02:56 | Закончен перенос 6 файлов из папки input в папку archive, успешно 6, провалено 0
2024.06.09-00:05:29 | Вычитывает текстовую базу данных
2024.06.09-00:05:29 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-00:05:29 | В папке: src\crs\resources\input найдено 0 файлов формата txt
2024.06.09-00:05:29 | Начата вычитка 0 файлов
2024.06.09-00:05:29 | Завершена вычитка 0 файлов, успешно 0, провалено 0
2024.06.09-15:05:21 | Вычитывает текстовую базу данных
2024.06.09-15:05:21 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-15:07:46 | Вычитывает текстовую базу данных
2024.06.09-15:07:46 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-15:08:27 | Вычитывает текстовую базу данных
2024.06.09-15:08:27 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:36:37 | Вычитывает текстовую базу данных
2024.06.09-17:36:37 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:36:42 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:44:12 | Вычитывает текстовую базу данных
2024.06.09-17:44:12 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:44:16 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:47:05 | Вычитывает текстовую базу данных
2024.06.09-17:47:05 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:47:07 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:48:39 | Вычитывает текстовую базу данных
2024.06.09-17:48:39 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:48:41 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:50:32 | Вычитывает текстовую базу данных
2024.06.09-17:50:32 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:50:38 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:53:54 | Вычитывает текстовую базу данных
2024.06.09-17:53:54 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:53:57 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:54:32 | Вычитывает текстовую базу данных
2024.06.09-17:54:32 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:54:33 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-17:56:49 | Вычитывает текстовую базу данных
2024.06.09-17:56:49 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:57:55 | Вычитывает текстовую базу данных
2024.06.09-17:57:55 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-17:58:00 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.09-20:42:07 | Вычитывает текстовую базу данных
2024.06.09-20:42:07 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:32:44 | Вычитывает текстовую базу данных
2024.06.09-21:32:44 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:32:56 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-21:32:56 | Начата вычитка 3 файлов
2024.06.09-21:32:56 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-21:32:56 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-21:32:56 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-21:32:56 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-21:34:50 | Вычитывает текстовую базу данных
2024.06.09-21:34:50 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:34:53 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-21:34:53 | Начата вычитка 3 файлов
2024.06.09-21:34:53 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-21:34:53 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-21:34:53 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-21:34:53 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-21:38:26 | Вычитывает текстовую базу данных
2024.06.09-21:38:26 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:38:28 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-21:38:28 | Начата вычитка 3 файлов
2024.06.09-21:38:28 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-21:38:28 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-21:38:28 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-21:38:28 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-21:40:48 | Вычитывает текстовую базу данных
2024.06.09-21:40:48 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:41:07 | Вычитывает текстовую базу данных
2024.06.09-21:41:07 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:41:35 | Вычитывает текстовую базу данных
2024.06.09-21:41:35 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:41:47 | Вычитывает текстовую базу данных
2024.06.09-21:41:47 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:42:02 | Вычитывает текстовую базу данных
2024.06.09-21:42:03 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
